--------- beginning of /dev/log/system
03-24 22:30:49.773 I/Vold    (  112): Vold 2.1 (the revenge) firing up
03-24 22:30:50.083 D/Vold    (  112): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
03-24 22:30:50.083 D/Vold    (  112): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
03-24 22:30:50.083 D/Vold    (  112): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
03-24 22:30:50.093 D/Vold    (  112): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.093 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.103 W/Vold    (  112): Duplicate state (1)
03-24 22:30:50.113 W/Vold    (  112): Duplicate state (1)
03-24 22:30:56.519 I/SystemServer(  380): Entered the Android system server!
03-24 22:30:56.529 I/SystemServer(  380): Entropy Mixer
03-24 22:30:56.559 I/SystemServer(  380): Power Manager
03-24 22:30:56.579 I/SystemServer(  380): Activity Manager
03-24 22:30:56.589 I/ActivityManager(  380): Memory class: 64
03-24 22:30:56.819 I/SystemServer(  380): Telephony Registry
03-24 22:30:56.819 I/SystemServer(  380): Scheduling Policy
03-24 22:30:56.819 I/SystemServer(  380): Package Manager
03-24 22:30:57.140 W/PackageManager(  380): Running ENG build: no pre-dexopt!
03-24 22:30:57.280 W/PackageParser(  380): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #184
03-24 22:30:57.280 W/PackageParser(  380): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #208
03-24 22:30:57.460 W/PackageParser(  380): No readPermission or writePermssion for <path-permission>: path-permission at /system/app/DownloadProvider.apk Binary XML file line #67
03-24 22:30:57.590 W/PackageManager(  380): Package com.android.gallery3d desires unavailable shared library com.google.android.media.effects; ignoring!
03-24 22:30:57.720 W/PackageManager(  380): Package com.android.camera desires unavailable shared library com.google.android.media.effects; ignoring!
03-24 22:30:58.201 I/Installer(  380): connecting...
03-24 22:30:58.231 W/PackageParser(  380): No actions in intent filter at /data/app/com.disney.TempleRunOz.goo-1.apk Binary XML file line #47
03-24 22:30:58.321 W/PackageManager(  380): Package com.tencent.news desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
03-24 22:30:58.921 W/PackageManager(  380): Package com.tencent.mobileqq desires unavailable shared library com.google.android.maps; ignoring!
03-24 22:30:59.182 W/PackageManager(  380): Package com.tencent.mm desires unavailable shared library com.google.android.maps; ignoring!
03-24 22:30:59.432 I/PackageManager(  380): Time to scan packages: 2.3 seconds
03-24 22:30:59.432 W/PackageManager(  380): Unknown permission android.permission.READ_MMS in package com.android.launcher
03-24 22:30:59.432 W/PackageManager(  380): Unknown permission android.permission.WRITE_MMS in package com.android.launcher
03-24 22:30:59.432 W/PackageManager(  380): Not granting permission android.permission.INSTALL_PACKAGES to package com.tencent.mm (protectionLevel=18 flags=0x10be44)
03-24 22:30:59.432 W/PackageManager(  380): Unknown permission com.tencent.mm.location.permission.SEND_VIEW in package com.tencent.mm
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.CLEAR_APP_USER_DATA to package com.smart.Installback (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.android.vending.BILLING in package com.gameon.bubblebust
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.google.android.gm.permission.AUTO_SEND in package com.google.android.voicesearch
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.voicesearch
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.android.vending.BILLING in package com.disney.TempleRunOz.goo
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x19be45)
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.INJECT_EVENTS to package com.android.browser (protectionLevel=2 flags=0x19be45)
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.DELETE_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.CLEAR_APP_USER_DATA to package com.qihoo.appstore (protectionLevel=2 flags=0xbe44)
03-24 22:30:59.442 W/PackageManager(  380): Not granting permission android.permission.ACCESS_CACHE_FILESYSTEM to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
