[ 1108.545847]  logcat
--------- beginning of /dev/log/system
I/Vold    (  738): Vold 2.1 (the revenge) firing up
E/Vold    (  738): Error reading configuration (No such file or directory)... continuing anyways
D/Vold    (  738): can not get the uuid of /dev/block/vold/8:0 when device add
D/Vold    (  738): can not get the uuid of /dev/block/vold/8:0 when device remove
I/SystemServer(  973): Entered the Android system server!
I/SystemServer(  973): Entropy Service
I/SystemServer(  973): Power Manager
I/SystemServer(  973): Activity Manager
I/ActivityManager(  973): Memory class: 64
I/ActivityManager(  973): Enabled StrictMode logging for AThread's Looper
I/SystemServer(  973): Telephony Registry
I/SystemServer(  973): Package Manager
W/PackageManager(  973): Running ENG build: no pre-dexopt!
W/PackageManager(  973): Library not found: /system/framework/com.android.future.usb.accessory.jar
W/PackageParser(  973): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #125
I/PackageParser(  973): com.coship.HS: compat added android.permission.WRITE_EXTERNAL_STORAGE android.permission.READ_PHONE_STATE
W/PackageParser(  973): No actions in intent filter at /system/app/Contacts.apk Binary XML file line #525
W/PackageParser(  973): No actions in intent filter at /system/app/Coship_VAF.apk Binary XML file line #58
I/PackageParser(  973): com.coship.cw880: compat added android.permission.WRITE_EXTERNAL_STORAGE android.permission.READ_PHONE_STATE
W/PackageParser(  973): Problem in package /system/app/STB-Settings.apk:
W/PackageParser(  973): Unknown element under <activity>: data at /system/app/STB-Settings.apk Binary XML file line #145
W/PackageParser(  973): Problem in package /system/app/STB-Settings.apk:
W/PackageParser(  973): Unknown element under <activity>: action at /system/app/STB-Settings.apk Binary XML file line #231
W/PackageParser(  973): Problem in package /system/app/STB-Settings.apk:
W/PackageParser(  973): Unknown element under <activity>: action at /system/app/STB-Settings.apk Binary XML file line #232
W/PackageParser(  973): Problem in package /system/app/STB-Settings.apk:
W/PackageParser(  973): Unknown element under <activity>: action at /system/app/STB-Settings.apk Binary XML file line #289
W/PackageParser(  973): Problem in package /system/app/STB-Settings.apk:
W/PackageParser(  973): Unknown element under <activity>: action at /system/app/STB-Settings.apk Binary XML file line #393
W/PackageParser(  973): Problem in package /system/app/STB-Settings.apk:
W/PackageParser(  973): Unknown element under <activity>: action at /system/app/STB-Settings.apk Binary XML file line #394
I/PackageParser(  973): com.iflytek.vaf.TouchKey: compat added android.permission.WRITE_EXTERNAL_STORAGE android.permission.READ_PHONE_STATE
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.Multimedia.apk Binary XML file line #97
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.Multimedia.apk Binary XML file line #104
I/PackageParser(  973): com.coship.Multimedia: compat added android.permission.READ_PHONE_STATE
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.NetworkNavigation.apk Binary XML file line #24
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.NetworkNavigation.apk Binary XML file line #31
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.NetworkNavigation.apk Binary XML file line #38
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.NetworkNavigation.apk Binary XML file line #45
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.NetworkNavigation.apk Binary XML file line #52
I/PackageParser(  973): com.coship.dvbplayer: compat added android.permission.READ_PHONE_STATE
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.dvbsetting.apk Binary XML file line #103
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.dvbsetting.apk Binary XML file line #111
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.dvbsetting.apk Binary XML file line #119
W/PackageParser(  973): No actions in intent filter at /system/app/com.coship.dvbsetting.apk Binary XML file line #127
