序号,Bug编号,所属模块,Bug标题,严重程度,优先级,重现步骤,Bug状态,由谁创建,创建日期,影响版本
1,1287,OTT直播模块,左右方向键调音量会弹出两个音量条,一般,,"[步骤]
进入直播，按左右方向键调节音量，界面会出现两个音量条
[结果]
左右方向键调音量出现两个音量条
[期望]
左右方向键调节音量界面只出现相应的一个音量条",激活,鄢军辉,2013-6-27,V2.1.13.46
2,1289,OTT直播模块,节目丢失，列表序列号到45，实际只有11个节目,严重,,"[步骤]
1.进入直播，打开界面列表
2.列表只显示11个频道，其他频道丢失
[结果]
直播只有11个频道，其他频道丢失
[期望]
列表频道数和实际对应",激活,鄢军辉,2013-6-27,V2.1.13.46
3,1290,OTT直播模块,在节目列表点击正在播放的频道，也会缓冲,一般,,"[步骤]
进入直播，打开播放列表，选择正在播放的频道，点击，界面也会缓冲
[结果]
选择正在播放的频道，界面也会缓冲
[期望]
选择正在播放的频道，不用缓冲，直接继续播放",激活,鄢军辉,2013-6-27,V2.1.13.46
4,1291,OTT直播模块,按主页键，不出现退出提示，直接退出播放,严重,,"[步骤]
1.进入直播
2.按主页键，不会出现退出提示，直接退出直播
[结果]
按主页键，不出现退出提示，直接退出直播
[期望]
按主页键，弹出退出提示",激活,鄢军辉,2013-6-27,V2.1.13.46
5,1292,OTT直播模块,EPG无法获取,严重,,"[步骤]
进入直播，播放节目，接下来播放一直处于正在获取，但是无法获取EPG
[结果]
直播无法获取EPG
[期望]
直播能准确获取EPG",激活,鄢军辉,2013-6-27,V2.1.13.46
6,1293,OTT直播模块,按主页键退出直播，再次进入直播黑屏,致命,,"[步骤]
1.进入直播
2.按主页键退出直播，再次进入直播，界面黑屏
[结果]
按主页键退出直播，再次进入直播界面黑屏
[期望]
按主页键退出直播，再次进入直播能正常直播",激活,鄢军辉,2013-6-27,V2.1.13.46
7,1294,OTT直播模块,直播节目进度条和实际不符,严重,,"[步骤]
1.进入直播
2.查看进度条，和实际节目进度不符
[结果]
直播节目进度条和实际播放进度不符
[期望]
直播节目进度条和直播节目进度相符",激活,鄢军辉,2013-6-27,V2.1.13.46
8,1295,OTT直播模块,播放列表会标识最近两次播放的频道，只需要标识最近播放的一个频道即可,一般,,"[步骤]
1.进入直播，打开直播列表，选择其中一个频道
2.再打开列表，再选择另一个频道
3.再打开列表，最近两次选择的频道都被标识成蓝色
[结果]
播放列表会标识最近两次的频道，不能确定最后一次的选择
[期望]
播放列表只标识最近一次的频道",激活,鄢军辉,2013-6-27,V2.1.13.46
9,1296,OTT直播模块,列表显示的节目和实际的不符,一般,,"[步骤]
1.进入直播，打开列表
2.湖南卫视显示的是“幸福保卫战”，实际播放的却不是这个节目
[结果]
湖南卫视节目列表显示的节目和实际的不符
[期望]
湖南卫视节目列表显示的节目和实际的相符",激活,鄢军辉,2013-6-27,V2.1.13.46
10,1297,OTT直播模块,直播没有声道选择,严重,,"[步骤]
1.进入直播
2.播放节目，无法选择声道
[结果]
直播没有声道选择
[期望]
直播时有声道选择",激活,鄢军辉,2013-6-27,V2.1.13.46
11,1298,OTT直播模块,标清播放默认为16:9，无法在16:9和4:3直接选择,严重,,"[步骤]
1.进入直播
2.进入标清节目，默认都是16:9，用户无法选择16:9还是4:3
[结果]
直播里标清默认为16:9，无法在16:9和4:3之间选择
[期望]
直播标清能在16:9和4:3之间选择",激活,鄢军辉,2013-6-27,V2.1.13.46
12,1299,OTT直播模块,直播无网络连接时，没有提示,严重,,"[步骤]
1.网络接连正常时进入直播
2.播放时断开网络，界面没有无网络连接提示
[结果]
直播无网络连接时，没有提示
[期望]
直播界面，断网时提示无网络连接",激活,鄢军辉,2013-6-27,V2.1.13.46
13,1301,OTT直播模块,断网重连，直播一直处于竞争状态，无法复原,致命,,"[步骤]
1.网络连接正常时进入直播
2.断开网络，再次连接网络，直播一直处于竞争状态，无法复原，需要重启盒子
[结果]
断网重连，直播一直处于竞争状态，无法复原，需要重启盒子
[期望]
断网重连，能恢复正常",激活,鄢军辉,2013-6-27,V2.1.13.46
14,1302,OTT直播模块,时移缓冲时间过长,严重,,"[步骤]
1.进入直播
2.按暂停键，启动时移，缓冲时间50秒左右
[结果]
时移缓冲时间过长
[期望]
时移缓冲时间在3秒左右久能正常播放",激活,鄢军辉,2013-6-27,V2.1.13.46
15,1303,OTT直播模块,时移时，按返回键，直播界面黑屏,严重,,"[步骤]
1.进入直播，进入时移状态
2.按返回键，退出时移，直播界面黑屏
[结果]
按返回键，退出时移，直播界面黑屏
[期望]
按返回键，退出时移，恢复到正常播放节目",激活,鄢军辉,2013-6-27,V2.1.13.46
